Orthogroup	Apatococcus_fuscideae-Prasiolales.prot	Apatococcus_lobatus-Prasiolales.prot
OG0006950	KAK9865572.1	KAK9840299.1
OG0006951	KAK9865573.1	KAK9840220.1
OG0006952	KAK9865577.1	KAK9839932.1
OG0006953	KAK9865579.1	KAK9835873.1
OG0006954	KAK9865580.1	KAK9835706.1
OG0006955	KAK9865583.1	KAK9835806.1
OG0006956	KAK9865587.1	KAK9835782.1
OG0006957	KAK9865589.1	KAK9835499.1
OG0006958	KAK9865595.1	KAK9830805.1
OG0006959	KAK9865596.1	KAK9830679.1
OG0006960	KAK9865600.1	KAK9830724.1
OG0006961	KAK9865601.1	KAK9830712.1
OG0006962	KAK9865602.1	KAK9830671.1
OG0006963	KAK9865605.1	KAK9844314.1
OG0006964	KAK9865607.1	KAK9844698.1
OG0006965	KAK9865608.1	KAK9844426.1
OG0006966	KAK9865609.1	KAK9844633.1
OG0006967	KAK9865611.1, KAK9867872.1	
OG0006968	KAK9865612.1	KAK9844809.1
OG0006969	KAK9865626.1	KAK9818857.1
OG0006970	KAK9865627.1	KAK9817495.1
OG0006971	KAK9865628.1	KAK9818625.1
OG0006972	KAK9865632.1	KAK9818633.1
OG0006973	KAK9865633.1	KAK9818646.1
OG0006974	KAK9865634.1, KAK9865635.1	
OG0006975	KAK9865636.1, KAK9865637.1	
OG0006976	KAK9865638.1	KAK9818642.1
OG0006977	KAK9865639.1	KAK9818627.1
OG0006978	KAK9865640.1	KAK9818644.1
OG0006979	KAK9865642.1	KAK9818636.1
OG0006980	KAK9865647.1	KAK9821508.1
OG0006981	KAK9865652.1	KAK9821518.1
OG0006982	KAK9865653.1	KAK9821520.1
OG0006983	KAK9865658.1	KAK9832454.1
OG0006984	KAK9865662.1	KAK9819121.1
OG0006985	KAK9865663.1	KAK9842675.1
OG0006986	KAK9865666.1	KAK9842861.1
OG0006987	KAK9865671.1	KAK9843193.1
OG0006988	KAK9865672.1	KAK9842831.1
OG0006989	KAK9865673.1	KAK9843237.1
OG0006990	KAK9865674.1	KAK9844700.1
OG0006991	KAK9865675.1	KAK9845085.1
OG0006992	KAK9865680.1	KAK9844342.1
OG0006993	KAK9865682.1	KAK9832261.1
OG0006994	KAK9865686.1	KAK9832214.1
OG0006995	KAK9865691.1	KAK9832469.1
OG0006996	KAK9865692.1	KAK9832195.1
OG0006997	KAK9865703.1	KAK9821859.1
OG0006998	KAK9865704.1	KAK9821857.1
OG0006999	KAK9865708.1, KAK9868706.1	
OG0007000	KAK9865720.1	KAK9833006.1
OG0007001	KAK9865725.1	KAK9833203.1
OG0007002	KAK9865727.1	KAK9841428.1
OG0007003	KAK9865728.1	KAK9832892.1
OG0007004	KAK9865730.1	KAK9838720.1
OG0007005	KAK9865732.1	KAK9839166.1
OG0007006	KAK9865733.1	KAK9838960.1
OG0007007	KAK9865735.1	KAK9838648.1
OG0007008	KAK9865736.1	KAK9838889.1
OG0007009	KAK9865737.1	KAK9838679.1
OG0007010	KAK9865739.1	KAK9838942.1
OG0007011	KAK9865745.1	KAK9837824.1
OG0007012	KAK9865746.1	KAK9837685.1
OG0007013	KAK9865750.1	KAK9837654.1
OG0007014	KAK9865754.1	KAK9837986.1
OG0007015	KAK9865760.1	KAK9826238.1
OG0007016	KAK9865762.1	KAK9826317.1
OG0007017	KAK9865763.1	KAK9826242.1
OG0007018	KAK9865764.1	KAK9826295.1
OG0007019	KAK9865767.1	KAK9838856.1
OG0007020	KAK9865771.1	KAK9839108.1
OG0007021	KAK9865773.1	KAK9839170.1
OG0007022	KAK9865775.1, KAK9865776.1	
OG0007023	KAK9865778.1	KAK9844327.1
OG0007024	KAK9865779.1	KAK9844284.1
OG0007025	KAK9865780.1	KAK9831280.1
OG0007026	KAK9865782.1	KAK9831046.1
OG0007027	KAK9865785.1	KAK9844770.1
OG0007028	KAK9865786.1	KAK9831259.1
OG0007029	KAK9865791.1	KAK9844590.1
OG0007030	KAK9865792.1	KAK9845124.1
OG0007031	KAK9865793.1	KAK9844610.1
OG0007032	KAK9865794.1	KAK9844722.1
OG0007033	KAK9865796.1	KAK9844609.1
OG0007034	KAK9865800.1	KAK9844965.1
OG0007035	KAK9865803.1	KAK9844337.1
OG0007036	KAK9865804.1	KAK9845110.1
OG0007037	KAK9865806.1	KAK9844487.1
OG0007038	KAK9865809.1	KAK9837565.1
OG0007039	KAK9865811.1	KAK9832170.1
OG0007040	KAK9865812.1	KAK9837723.1
OG0007041	KAK9865817.1	KAK9844766.1
OG0007042	KAK9865819.1	KAK9845007.1
OG0007043	KAK9865820.1	KAK9845005.1
OG0007044	KAK9865821.1	KAK9844806.1
OG0007045	KAK9865827.1	KAK9844325.1
OG0007046	KAK9865828.1	KAK9844261.1
OG0007047	KAK9865833.1	KAK9844945.1
OG0007048	KAK9865838.1	KAK9825342.1
OG0007049	KAK9865847.1	KAK9817573.1
OG0007050	KAK9865849.1	KAK9821524.1
OG0007051	KAK9865857.1	KAK9817396.1
OG0007052	KAK9865862.1	KAK9828305.1
OG0007053	KAK9865865.1	KAK9828291.1
OG0007054	KAK9865868.1	KAK9818877.1
OG0007055	KAK9865878.1	KAK9836524.1
OG0007056	KAK9865880.1	KAK9836499.1
OG0007057	KAK9865883.1	KAK9836421.1
OG0007058	KAK9865884.1	KAK9828244.1
OG0007059	KAK9865890.1, KAK9865891.1	
OG0007060	KAK9865898.1	KAK9841202.1
OG0007061	KAK9865899.1	KAK9841463.1
OG0007062	KAK9865903.1	KAK9841649.1
OG0007063	KAK9865908.1, KAK9865909.1	
OG0007064	KAK9865917.1	KAK9833647.1
OG0007065	KAK9865919.1	KAK9843289.1
OG0007066	KAK9865927.1	KAK9841719.1
OG0007067	KAK9865936.1	KAK9832958.1
OG0007068	KAK9865939.1	KAK9832900.1
OG0007069	KAK9865940.1	KAK9832936.1
OG0007070	KAK9865941.1	KAK9833110.1
OG0007071	KAK9865944.1	KAK9826271.1
OG0007072	KAK9865948.1	KAK9826227.1
OG0007073	KAK9865958.1	KAK9831027.1
OG0007074	KAK9865961.1	KAK9818675.1
OG0007075	KAK9865963.1	KAK9818688.1
OG0007076	KAK9865964.1	KAK9822950.1
OG0007077	KAK9865977.1	KAK9827117.1
OG0007078	KAK9865979.1	KAK9815970.1
OG0007079	KAK9865980.1	KAK9820724.1
OG0007080	KAK9865985.1	KAK9826211.1
OG0007081	KAK9865989.1	KAK9826231.1
OG0007082	KAK9865990.1, KAK9865991.1	
OG0007083	KAK9865993.1	KAK9826296.1
OG0007084	KAK9865994.1	KAK9826300.1
OG0007085	KAK9866004.1	KAK9833015.1
OG0007086	KAK9866006.1	KAK9833123.1
OG0007087	KAK9866008.1	KAK9833211.1
OG0007088	KAK9866012.1	KAK9824922.1
OG0007089	KAK9866014.1	KAK9824883.1
OG0007090	KAK9866016.1	KAK9819551.1
OG0007091	KAK9866028.1	KAK9840424.1
OG0007092	KAK9866030.1	KAK9825114.1
OG0007093	KAK9866031.1	KAK9840321.1
OG0007094	KAK9866032.1	KAK9825036.1
OG0007095	KAK9866037.1	KAK9840502.1
OG0007096	KAK9866045.1	KAK9837646.1
OG0007097	KAK9866051.1	KAK9841591.1
OG0007098	KAK9866053.1	KAK9841388.1
OG0007099	KAK9866074.1	KAK9816295.1
OG0007100	KAK9866075.1	KAK9820921.1
OG0007101	KAK9866076.1	KAK9816308.1
OG0007102	KAK9866080.1	KAK9841393.1
OG0007103	KAK9866082.1	KAK9841248.1
OG0007104	KAK9866086.1	KAK9841453.1
OG0007105	KAK9866088.1	KAK9841534.1
OG0007106	KAK9866089.1	KAK9841127.1
OG0007107	KAK9866098.1	KAK9838931.1
OG0007108	KAK9866099.1	KAK9839151.1
OG0007109	KAK9866104.1, KAK9866105.1	
OG0007110	KAK9866107.1	KAK9835756.1
OG0007111	KAK9866127.1	KAK9827072.1
OG0007112	KAK9866131.1, KAK9866132.1	
OG0007113	KAK9866135.1	KAK9845024.1
OG0007114	KAK9866140.1, KAK9866141.1	
OG0007115	KAK9866144.1	KAK9824890.1
OG0007116	KAK9866146.1	KAK9844425.1
OG0007117	KAK9866148.1	KAK9818873.1
OG0007118	KAK9866152.1	KAK9828343.1
OG0007119	KAK9866153.1	KAK9818900.1
OG0007120	KAK9866154.1	KAK9818886.1
OG0007121	KAK9866156.1	KAK9827433.1
OG0007122	KAK9866157.1	KAK9843271.1
OG0007123	KAK9866161.1	KAK9842806.1
OG0007124	KAK9866163.1	KAK9842883.1
OG0007125	KAK9866165.1	KAK9842932.1
OG0007126	KAK9866166.1	KAK9827525.1
OG0007127	KAK9866169.1	KAK9845020.1
OG0007128	KAK9866171.1	KAK9842852.1
OG0007129	KAK9866172.1	KAK9844481.1
OG0007130	KAK9866173.1	KAK9843367.1
OG0007131	KAK9866175.1	KAK9843260.1
OG0007132	KAK9866176.1	KAK9840455.1
OG0007133	KAK9866178.1	KAK9840137.1
OG0007134	KAK9866179.1	KAK9845038.1
OG0007135	KAK9866180.1	KAK9845039.1
OG0007136	KAK9866183.1	KAK9822620.1
OG0007137	KAK9866191.1	KAK9822543.1
OG0007138	KAK9866192.1	KAK9822576.1
OG0007139	KAK9866196.1	KAK9821865.1
OG0007140	KAK9866206.1	KAK9836527.1
OG0007141	KAK9866214.1	KAK9822794.1
OG0007142	KAK9866219.1	KAK9818613.1
OG0007143	KAK9866221.1	KAK9818650.1
OG0007144	KAK9866222.1	KAK9818662.1
OG0007145	KAK9866224.1	KAK9818638.1
OG0007146	KAK9866227.1	KAK9818645.1
OG0007147	KAK9866228.1	KAK9818623.1
OG0007148	KAK9866229.1	KAK9834574.1
OG0007149	KAK9866230.1	KAK9834731.1
OG0007150	KAK9866231.1	KAK9834486.1
OG0007151	KAK9866233.1	KAK9834412.1
OG0007152	KAK9866239.1	KAK9834763.1
OG0007153	KAK9866240.1	KAK9834529.1
OG0007154	KAK9866241.1	KAK9834752.1
OG0007155	KAK9866246.1	KAK9831731.1
OG0007156	KAK9866256.1	KAK9831615.1
OG0007157	KAK9866258.1, KAK9866259.1	
OG0007158	KAK9866269.1, KAK9866270.1	
OG0007159	KAK9866276.1	KAK9835627.1
OG0007160	KAK9866278.1	KAK9835897.1
OG0007161	KAK9866279.1	KAK9835847.1
OG0007162	KAK9866281.1	KAK9835699.1
OG0007163	KAK9866283.1	KAK9819430.1
OG0007164	KAK9866285.1	KAK9819463.1
OG0007165	KAK9866286.1	KAK9819437.1
OG0007166	KAK9866289.1	KAK9819464.1
OG0007167	KAK9866291.1	KAK9819472.1
OG0007168	KAK9866292.1	KAK9819475.1
OG0007169	KAK9866296.1	KAK9831138.1
OG0007170	KAK9866297.1	KAK9831248.1
OG0007171	KAK9866302.1, KAK9866303.1	
OG0007172	KAK9866319.1, KAK9866320.1	
OG0007173	KAK9866325.1	KAK9843052.1
OG0007174	KAK9866333.1	KAK9843049.1
OG0007175	KAK9866336.1	KAK9842807.1
OG0007176	KAK9866338.1	KAK9843196.1
OG0007177	KAK9866342.1	KAK9833877.1
OG0007178	KAK9866343.1	KAK9833876.1
OG0007179	KAK9866344.1	KAK9833878.1
OG0007180	KAK9866346.1	KAK9833825.1
OG0007181	KAK9866347.1	KAK9833666.1
OG0007182	KAK9866351.1	KAK9835918.1
OG0007183	KAK9866352.1	KAK9835569.1
OG0007184	KAK9866353.1	KAK9827057.1
OG0007185	KAK9866358.1	KAK9827167.1
OG0007186	KAK9866360.1	KAK9835789.1
OG0007187	KAK9866362.1	KAK9835430.1
OG0007188	KAK9866366.1	KAK9844798.1
OG0007189	KAK9866368.1, KAK9866369.1	
OG0007190	KAK9866370.1	KAK9833676.1
OG0007191	KAK9866372.1	KAK9833782.1
OG0007192	KAK9866384.1	KAK9825758.1
OG0007193	KAK9866385.1	KAK9825787.1
OG0007194	KAK9866399.1	KAK9835826.1
OG0007195	KAK9866400.1	KAK9835555.1
OG0007196	KAK9866401.1, KAK9866402.1	
OG0007197	KAK9866404.1	KAK9819144.1
OG0007198	KAK9866410.1	KAK9819132.1
OG0007199	KAK9866411.1, KAK9866412.1	
OG0007200	KAK9866414.1	KAK9819131.1
OG0007201	KAK9866419.1	KAK9819284.1
OG0007202	KAK9866422.1, KAK9866423.1	
OG0007203	KAK9866432.1	KAK9819314.1
OG0007204	KAK9866434.1	KAK9817498.1
OG0007205	KAK9866440.1	KAK9836877.1
OG0007206	KAK9866443.1	KAK9836677.1
OG0007207	KAK9866444.1	KAK9836764.1
OG0007208	KAK9866447.1	KAK9839987.1
OG0007209	KAK9866448.1	KAK9836614.1
OG0007210	KAK9866449.1	KAK9836920.1
OG0007211	KAK9866455.1	KAK9822098.1
OG0007212	KAK9866456.1	KAK9822102.1
OG0007213	KAK9866457.1	KAK9822096.1
OG0007214	KAK9866458.1	KAK9822041.1
OG0007215	KAK9866459.1	KAK9822011.1
OG0007216	KAK9866465.1	KAK9822025.1
OG0007217	KAK9866466.1	KAK9841408.1
OG0007218	KAK9866467.1	KAK9822089.1
OG0007219	KAK9866468.1	KAK9822088.1
OG0007220	KAK9866469.1	KAK9836897.1
OG0007221	KAK9866475.1	KAK9836648.1
OG0007222	KAK9866477.1, KAK9866478.1	
OG0007223	KAK9866487.1, KAK9866488.1	
OG0007224	KAK9866491.1	KAK9844371.1
OG0007225	KAK9866494.1	KAK9837964.1
OG0007226	KAK9866498.1	KAK9837580.1
OG0007227	KAK9866506.1	KAK9837663.1
OG0007228	KAK9866507.1	KAK9821265.1
OG0007229	KAK9866510.1	KAK9842678.1
OG0007230	KAK9866511.1	KAK9821281.1
OG0007231	KAK9866513.1	KAK9843352.1
OG0007232	KAK9866516.1	KAK9842987.1
OG0007233	KAK9866520.1, KAK9866521.1	
OG0007234	KAK9866523.1	KAK9834782.1
OG0007235	KAK9866527.1	KAK9825541.1
OG0007236	KAK9866535.1	KAK9832996.1
OG0007237	KAK9866536.1	KAK9825619.1
OG0007238	KAK9866540.1	KAK9821816.1
OG0007239	KAK9866544.1, KAK9866545.1	
OG0007240	KAK9866551.1	KAK9842841.1
OG0007241	KAK9866558.1	KAK9843039.1
OG0007242	KAK9866561.1	KAK9842741.1
OG0007243	KAK9866571.1	KAK9835833.1
OG0007244	KAK9866576.1	KAK9832444.1
OG0007245	KAK9866578.1	KAK9832287.1
OG0007246	KAK9866579.1	KAK9832342.1
OG0007247	KAK9866580.1	KAK9832390.1
OG0007248	KAK9866583.1	KAK9832321.1
OG0007249	KAK9866588.1	KAK9839001.1
OG0007250	KAK9866595.1	KAK9838718.1
OG0007251	KAK9866601.1	KAK9841383.1
OG0007252	KAK9866606.1	KAK9841258.1
OG0007253	KAK9866607.1	KAK9841330.1
OG0007254	KAK9866612.1, KAK9866613.1	
OG0007255	KAK9866614.1	KAK9818972.1
OG0007256	KAK9866617.1	KAK9836515.1
OG0007257	KAK9866623.1	KAK9827463.1
OG0007258	KAK9866625.1	KAK9816360.1
OG0007259	KAK9866627.1	KAK9835442.1
OG0007260	KAK9866629.1	KAK9816371.1
OG0007261	KAK9866631.1	KAK9835630.1
OG0007262	KAK9866632.1	KAK9835704.1
OG0007263	KAK9866639.1	KAK9830775.1
OG0007264	KAK9866641.1	KAK9832372.1
OG0007265	KAK9866644.1	KAK9832970.1
OG0007266	KAK9866647.1	KAK9832290.1
OG0007267	KAK9866649.1	KAK9832193.1
OG0007268	KAK9866651.1	KAK9843355.1
OG0007269	KAK9866653.1	KAK9842718.1
OG0007270	KAK9866656.1	KAK9843129.1
OG0007271	KAK9866659.1	KAK9830658.1
OG0007272	KAK9866660.1	KAK9841275.1
OG0007273	KAK9866664.1	KAK9841262.1
OG0007274	KAK9866665.1	KAK9841220.1
OG0007275	KAK9866666.1	KAK9841617.1
OG0007276	KAK9866669.1	KAK9841473.1
OG0007277	KAK9866670.1	KAK9841486.1
OG0007278	KAK9866671.1, KAK9866672.1	
OG0007279	KAK9866673.1	KAK9833942.1
OG0007280	KAK9866686.1	KAK9822050.1
OG0007281	KAK9866687.1	KAK9822077.1
OG0007282	KAK9866690.1	KAK9822047.1
OG0007283	KAK9866693.1	KAK9822147.1
OG0007284	KAK9866697.1	KAK9822065.1
OG0007285	KAK9866699.1	KAK9839957.1
OG0007286	KAK9866704.1	KAK9840205.1
OG0007287	KAK9866705.1	KAK9840222.1
OG0007288	KAK9866714.1	KAK9821540.1
OG0007289	KAK9866719.1	KAK9821549.1
OG0007290	KAK9866721.1, KAK9866722.1	
OG0007291	KAK9866725.1, KAK9866726.1	
OG0007292	KAK9866731.1	KAK9828245.1
OG0007293	KAK9866736.1	KAK9828242.1
OG0007294	KAK9866737.1	KAK9828353.1
OG0007295	KAK9866738.1	KAK9828185.1
OG0007296	KAK9866741.1	KAK9828317.1
OG0007297	KAK9866742.1	KAK9828147.1
OG0007298	KAK9866750.1	KAK9831161.1
OG0007299	KAK9866756.1	KAK9831186.1
OG0007300	KAK9866759.1	KAK9827852.1
OG0007301	KAK9866761.1	KAK9827946.1
OG0007302	KAK9866775.1	KAK9827847.1
OG0007303	KAK9866777.1	KAK9827510.1
OG0007304	KAK9866779.1	KAK9827493.1
OG0007305	KAK9866780.1	KAK9827518.1
OG0007306	KAK9866785.1	KAK9827478.1
OG0007307	KAK9866786.1	KAK9827413.1
OG0007308	KAK9866787.1	KAK9827500.1
OG0007309	KAK9866788.1	KAK9827462.1
OG0007310	KAK9866797.1	KAK9835658.1
OG0007311	KAK9866801.1	KAK9821545.1
OG0007312	KAK9866802.1	KAK9821645.1
OG0007313	KAK9866803.1	KAK9816282.1
OG0007314	KAK9866807.1, KAK9867452.1	
OG0007315	KAK9866808.1	KAK9821490.1
OG0007316	KAK9866809.1	KAK9821688.1
OG0007317	KAK9866819.1, KAK9866820.1	
OG0007318	KAK9866823.1, KAK9866824.1	
OG0007319	KAK9866828.1	KAK9838999.1
OG0007320	KAK9866831.1	KAK9838719.1
OG0007321	KAK9866833.1	KAK9839044.1
OG0007322	KAK9866835.1	KAK9838997.1
OG0007323	KAK9866838.1, KAK9866839.1	
OG0007324	KAK9866850.1	KAK9830645.1
OG0007325	KAK9866861.1	KAK9844409.1
OG0007326	KAK9866866.1	KAK9844701.1
OG0007327	KAK9866871.1, KAK9866872.1	
OG0007328	KAK9866877.1	KAK9837798.1
OG0007329	KAK9866878.1	KAK9827949.1
OG0007330	KAK9866881.1	KAK9833766.1
OG0007331	KAK9866883.1	KAK9827833.1
OG0007332	KAK9866891.1, KAK9866892.1	
OG0007333	KAK9866898.1	KAK9838848.1
OG0007334	KAK9866899.1	KAK9831580.1
OG0007335	KAK9866902.1	KAK9841697.1
OG0007336	KAK9866904.1	KAK9841146.1
OG0007337	KAK9866905.1	KAK9841696.1
OG0007338	KAK9866906.1, KAK9866907.1	
OG0007339	KAK9866908.1	KAK9841733.1
OG0007340	KAK9866909.1	KAK9841424.1
OG0007341	KAK9866910.1	KAK9841407.1
OG0007342	KAK9866912.1	KAK9841538.1
OG0007343	KAK9866913.1	KAK9841164.1
OG0007344	KAK9866915.1	KAK9839006.1
OG0007345	KAK9866916.1	KAK9816339.1
OG0007346	KAK9866917.1	KAK9838949.1
OG0007347	KAK9866919.1, KAK9866920.1	
OG0007348	KAK9866922.1	KAK9838686.1
OG0007349	KAK9866923.1, KAK9866924.1	
OG0007350	KAK9866926.1	KAK9838631.1
OG0007351	KAK9866928.1	KAK9838706.1
OG0007352	KAK9866930.1	KAK9816341.1
OG0007353	KAK9866934.1	KAK9844429.1
OG0007354	KAK9866939.1	KAK9844765.1
OG0007355	KAK9866945.1, KAK9866959.1	
OG0007356	KAK9866957.1	KAK9841664.1
OG0007357	KAK9866958.1	KAK9825596.1
OG0007358	KAK9866960.1	KAK9841221.1
OG0007359	KAK9866964.1	KAK9840291.1
OG0007360	KAK9866968.1, KAK9866969.1	
OG0007361	KAK9866973.1	KAK9840490.1
OG0007362	KAK9866984.1	KAK9825580.1
OG0007363	KAK9866986.1	KAK9825554.1
OG0007364	KAK9866992.1, KAK9866993.1	
OG0007365	KAK9866994.1	KAK9825620.1
OG0007366	KAK9866996.1	KAK9825501.1
OG0007367	KAK9866998.1	KAK9837997.1
OG0007368	KAK9867004.1	KAK9837867.1
OG0007369	KAK9867010.1	KAK9839934.1
OG0007370	KAK9867021.1	KAK9840060.1
OG0007371	KAK9867022.1	KAK9840168.1
OG0007372	KAK9867025.1, KAK9867925.1	
OG0007373	KAK9867026.1	KAK9828175.1
OG0007374	KAK9867027.1	KAK9828309.1
OG0007375	KAK9867032.1	KAK9840233.1
OG0007376	KAK9867035.1	KAK9833863.1
OG0007377	KAK9867038.1	KAK9833682.1
OG0007378	KAK9867041.1	KAK9833653.1
OG0007379	KAK9867044.1	KAK9822750.1
OG0007380	KAK9867047.1	KAK9822741.1
OG0007381	KAK9867054.1	KAK9822736.1
OG0007382	KAK9867058.1	KAK9816370.1
OG0007383	KAK9867059.1	KAK9816367.1
OG0007384	KAK9867069.1	KAK9831778.1
OG0007385	KAK9867075.1	KAK9844455.1
OG0007386	KAK9867079.1	KAK9845011.1
OG0007387	KAK9867084.1	KAK9831828.1
OG0007388	KAK9867089.1	KAK9826290.1
OG0007389	KAK9867090.1	KAK9826240.1
OG0007390	KAK9867097.1	KAK9828287.1
OG0007391	KAK9867098.1	KAK9828210.1
OG0007392	KAK9867100.1	KAK9828270.1
OG0007393	KAK9867101.1	KAK9826329.1
OG0007394	KAK9867107.1	KAK9842939.1
OG0007395	KAK9867108.1	KAK9843050.1
OG0007396	KAK9867109.1, KAK9867110.1	
OG0007397	KAK9867112.1	KAK9836766.1
OG0007398	KAK9867113.1	KAK9842793.1
OG0007399	KAK9867115.1	KAK9825806.1
OG0007400	KAK9867116.1	KAK9825785.1
OG0007401	KAK9867117.1	KAK9825783.1
OG0007402	KAK9867118.1	KAK9825737.1
OG0007403	KAK9867121.1	KAK9825736.1
OG0007404	KAK9867123.1	KAK9825757.1
OG0007405	KAK9867136.1	KAK9816409.1
OG0007406	KAK9867137.1	KAK9816396.1
OG0007407	KAK9867144.1	KAK9816387.1
OG0007408	KAK9867146.1, KAK9867147.1	
OG0007409	KAK9867148.1	KAK9816380.1
OG0007410	KAK9867150.1	KAK9816385.1
OG0007411	KAK9867152.1	KAK9816401.1
OG0007412	KAK9867156.1, KAK9867157.1	
OG0007413	KAK9867163.1	KAK9825791.1
OG0007414	KAK9867167.1, KAK9867168.1	
OG0007415	KAK9867184.1	KAK9816262.1
OG0007416	KAK9867186.1	KAK9818440.1
OG0007417	KAK9867188.1	KAK9816267.1
OG0007418	KAK9867189.1	KAK9816269.1
OG0007419	KAK9867194.1	KAK9816260.1
OG0007420	KAK9867195.1	KAK9816247.1
OG0007421	KAK9867202.1	KAK9833720.1
OG0007422	KAK9867203.1	KAK9833657.1
OG0007423	KAK9867210.1, KAK9867211.1	
OG0007424	KAK9867212.1, KAK9867213.1	
OG0007425	KAK9867214.1	KAK9843203.1
OG0007426	KAK9867215.1	KAK9843212.1
OG0007427	KAK9867223.1	KAK9843171.1
OG0007428	KAK9867228.1	KAK9837783.1
OG0007429	KAK9867229.1	KAK9837961.1
OG0007430	KAK9867239.1	KAK9837614.1
OG0007431	KAK9867243.1	KAK9837972.1
OG0007432	KAK9867244.1	KAK9825814.1
OG0007433	KAK9867256.1	KAK9830826.1
OG0007434	KAK9867257.1	KAK9830668.1
OG0007435	KAK9867261.1	KAK9827892.1
OG0007436	KAK9867267.1	KAK9827805.1
OG0007437	KAK9867274.1	KAK9842979.1
OG0007438	KAK9867277.1	KAK9843328.1
OG0007439	KAK9867278.1	KAK9843142.1
OG0007440	KAK9867280.1	KAK9843064.1
OG0007441	KAK9867281.1	KAK9842834.1
OG0007442	KAK9867282.1	KAK9843313.1
OG0007443	KAK9867285.1	KAK9842911.1
OG0007444	KAK9867290.1	KAK9822097.1
OG0007445	KAK9867296.1	KAK9822015.1
OG0007446	KAK9867301.1	KAK9822106.1
OG0007447	KAK9867309.1	KAK9824913.1
OG0007448	KAK9867310.1	KAK9824903.1
OG0007449	KAK9867314.1	KAK9824963.1
OG0007450	KAK9867315.1, KAK9867316.1	
OG0007451	KAK9867318.1	KAK9824802.1
OG0007452	KAK9867321.1	KAK9843213.1
OG0007453	KAK9867325.1	KAK9843145.1
OG0007454	KAK9867331.1	KAK9818870.1
OG0007455	KAK9867332.1	KAK9826642.1
OG0007456	KAK9867333.1	KAK9818905.1
OG0007457	KAK9867335.1	KAK9826585.1
OG0007458	KAK9867336.1	KAK9816223.1
OG0007459	KAK9867342.1	KAK9826662.1
OG0007460	KAK9867345.1	KAK9818878.1
OG0007461	KAK9867348.1	KAK9826539.1
OG0007462	KAK9867358.1, KAK9867359.1	
OG0007463	KAK9867360.1	KAK9830809.1
OG0007464	KAK9867361.1	KAK9830777.1
OG0007465	KAK9867363.1	KAK9830652.1
OG0007466	KAK9867364.1	KAK9831174.1
OG0007467	KAK9867369.1	KAK9821544.1
OG0007468	KAK9867372.1	KAK9821496.1
OG0007469	KAK9867374.1	KAK9821487.1
OG0007470	KAK9867375.1	KAK9816278.1
OG0007471	KAK9867376.1	KAK9821482.1
OG0007472	KAK9867377.1	KAK9821539.1
OG0007473	KAK9867379.1	KAK9821493.1
OG0007474	KAK9867381.1	KAK9821621.1
OG0007475	KAK9867391.1	KAK9834768.1
OG0007476	KAK9867401.1	KAK9836733.1
OG0007477	KAK9867404.1	KAK9840346.1
OG0007478	KAK9867427.1, KAK9867428.1	
OG0007479	KAK9867430.1	KAK9822063.1
OG0007480	KAK9867434.1	KAK9821819.1
OG0007481	KAK9867438.1	KAK9834382.1
OG0007482	KAK9867441.1	KAK9821856.1
OG0007483	KAK9867445.1	KAK9834730.1
OG0007484	KAK9867446.1	KAK9834599.1
OG0007485	KAK9867454.1	KAK9835690.1
OG0007486	KAK9867455.1	KAK9817526.1
OG0007487	KAK9867457.1	KAK9826954.1
OG0007488	KAK9867458.1	KAK9817517.1
OG0007489	KAK9867459.1	KAK9817534.1
OG0007490	KAK9867460.1	KAK9835836.1
OG0007491	KAK9867462.1	KAK9820689.1
OG0007492	KAK9867465.1	KAK9827873.1
OG0007493	KAK9867466.1	KAK9827783.1
OG0007494	KAK9867469.1	KAK9827837.1
OG0007495	KAK9867473.1	KAK9820664.1
OG0007496	KAK9867474.1	KAK9820696.1
OG0007497	KAK9867477.1	KAK9827920.1
OG0007498	KAK9867480.1	KAK9827754.1
OG0007499	KAK9867482.1	KAK9820677.1
OG0007500	KAK9867484.1	KAK9822967.1
OG0007501	KAK9867485.1	KAK9822927.1
OG0007502	KAK9867486.1	KAK9822884.1
OG0007503	KAK9867493.1	KAK9844944.1
OG0007504	KAK9867494.1	KAK9834477.1
OG0007505	KAK9867496.1	KAK9834726.1
OG0007506	KAK9867499.1	KAK9834531.1
OG0007507	KAK9867503.1	KAK9834419.1
OG0007508	KAK9867507.1	KAK9834674.1
OG0007509	KAK9867510.1	KAK9834575.1
OG0007510	KAK9867512.1	KAK9834573.1
OG0007511	KAK9867519.1	KAK9821259.1
OG0007512	KAK9867520.1	KAK9845099.1
OG0007513	KAK9867525.1	KAK9844300.1
OG0007514	KAK9867526.1	KAK9844924.1
OG0007515	KAK9867532.1	KAK9844410.1
OG0007516	KAK9867533.1	KAK9844258.1
OG0007517	KAK9867535.1	KAK9844749.1
OG0007518	KAK9867541.1	KAK9842657.1
OG0007519	KAK9867545.1	KAK9832380.1
OG0007520	KAK9867546.1	KAK9821032.1
OG0007521	KAK9867547.1	KAK9821042.1
OG0007522	KAK9867553.1	KAK9832434.1
OG0007523	KAK9867554.1	KAK9821082.1
OG0007524	KAK9867555.1, KAK9867556.1	
OG0007525	KAK9867557.1	KAK9821073.1
OG0007526	KAK9867560.1	KAK9833786.1
OG0007527	KAK9867564.1	KAK9833707.1
OG0007528	KAK9867565.1	KAK9833826.1
